what is the elevation of the highest point in the usa ||| SELECT max(highlow.highest_elevation) FROM highlow;
what is the size of the largest state in the usa ||| SELECT max(state.area) FROM state;
what state has highest elevation ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what is the capital of the state that borders the state that borders texas ||| SELECT state.capital FROM state WHERE state.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas'));
how long is the mississippi river in miles ||| SELECT river.length FROM river WHERE river.river_name='mississippi';
which rivers run through states bordering new mexico ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='new mexico');
how many states does the colorado river flow through ||| SELECT count(river.traverse) FROM river WHERE river.river_name='colorado';
what are the populations of all the major cities in montana ||| SELECT city.population FROM city WHERE city.state_name='montana' AND city.population>150000;
which state has the smallest area that borders texas ? ||| SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state WHERE state.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas') ) AND state.state_name IN ((SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas'));
what is the elevation of death valley ||| SELECT highlow.lowest_elevation FROM highlow WHERE highlow.lowest_point='death valley';
what is the state with the lowest population ||| SELECT state.state_name FROM state WHERE state.population=(SELECT min(state.population) FROM state);
how many people live in california ||| SELECT state.population FROM state WHERE state.state_name='california';
what is the river that cross over ohio ||| SELECT river.river_name FROM river WHERE river.traverse='ohio';
what is the height of the highest mountain in texas ||| SELECT max(distinct highlow.highest_elevation) FROM highlow WHERE highlow.state_name='texas';
what is the smallest state bordering ohio ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='ohio') AND state.area=(SELECT min(state.area) FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='ohio' ));
what is the biggest city in nebraska ||| SELECT city.city_name FROM city WHERE city.state_name='nebraska' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='nebraska');
how long is the mississippi ||| SELECT river.length FROM river WHERE river.river_name='mississippi';
what is the highest point in the united states ||| SELECT highlow.highest_point FROM highlow WHERE highlow.highest_elevation = (SELECT max(highlow.highest_elevation) FROM highlow);
how many rivers run through the states bordering colorado ||| SELECT count(river.river_name) FROM river WHERE river.traverse IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='colorado');
what is the smallest city in hawaii ||| SELECT city.city_name FROM city WHERE city.state_name='hawaii' AND city.population=(SELECT min(city.population) FROM city WHERE city.state_name='hawaii');
what is the size of the capital of texas ||| SELECT city.population FROM city WHERE city.city_name=(SELECT state.capital FROM state WHERE state.state_name = 'texas');
what are the major cities of the us ||| SELECT city.city_name FROM city WHERE city.population>150000;
what river flows through kansas ||| SELECT river.river_name FROM river WHERE river.traverse='kansas';
what is the most populated capital in the usa ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
what are the lakes in states bordering texas ||| SELECT lake.lake_name FROM lake WHERE lake.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas');
of the states washed by the mississippi river which has the lowest point ||| SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow,river WHERE(river.river_name='mississippi') AND(river.traverse=highlow.state_name));
what rivers run through the state with the lowest point in the usa ? ||| SELECT river.river_name FROM river WHERE river.traverse IN ( SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow));
which rivers flow through alaska ||| SELECT river.river_name FROM river WHERE river.traverse='alaska';
what is the lowest point in texas ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='texas';
what is the largest city in states that border california ||| SELECT city.city_name FROM city WHERE city.state_name IN(SELECT border_info.state_name FROM border_info WHERE border_info.border='california') AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name IN(SELECT border_info.state_name FROM border_info WHERE border_info.border='california'));
what is the longest river in the us ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
what is the average population of the us by state ||| SELECT avg(state.population) FROM state;
what is the capital of washington ||| SELECT state.capital FROM state WHERE state.state_name='washington';
what is the longest river in the state with the highest point ||| SELECT river.river_name FROM river,highlow WHERE river.traverse=highlow.state_name AND highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow) ORDER BY river.length DESC LIMIT 1;
what mountains are in alaska ||| SELECT mountain.mountain_name FROM mountain WHERE mountain.state_name='alaska';
how long is rio grande ||| SELECT river.length FROM river WHERE river.river_name='rio grande';
which state contains most rivers ? ||| SELECT river.traverse FROM river,state WHERE river.traverse=state.state_name GROUP BY state.state_name ORDER BY count(river.river_name) DESC LIMIT 1 ;
what is the highest point in rhode island ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='rhode island';
state the state with the largest area ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
how many cities named austin are there in the usa ||| SELECT count(city.city_name) FROM city WHERE city.city_name='austin';
what are the major lakes in united states  ||| SELECT lake.lake_name FROM lake;
which state is the city denver located in ||| SELECT city.state_name FROM city WHERE city.city_name='denver';
how many people live in austin ||| SELECT city.population FROM city WHERE city.city_name='austin';
how many states in the us does the shortest river run through ||| SELECT count(distinct river.traverse) FROM river WHERE river.length=(SELECT min(distinct river.length) FROM river);
what states border hawaii ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='hawaii';
what is the population density in the state with capital austin ||| SELECT state.density FROM state WHERE state.capital='austin';
what is the total population of the states that border texas ||| SELECT sum(state.population) FROM state ,border_info WHERE state.state_name=border_info.border AND border_info.state_name='texas';
where is mount whitney ||| SELECT mountain.state_name FROM mountain WHERE mountain.mountain_name='whitney';
what is the length of the colorado river in texas ||| SELECT river.length FROM river WHERE river.river_name='colorado' AND river.traverse='texas';
how many states does the missouri river run through ||| SELECT count(river.traverse) FROM river WHERE river.river_name='missouri';
